mouse,experiment,trialnum,100-0 totalCorrect,100-0 totalAttempts,90-10 totalCorrect,90-10 totalAttempts,80-20 totalCorrect,80-20 totalAttempts,60-40 totalCorrect,60-40 totalAttempts,controlCorrect,controlAttempts
2131,100-0,1,72,80,0,0,0,0,0,0,6,8
2131,90-10,1,0,0,0,0,0,0,0,0,6,10
2131,trainer2,1,28,45,0,0,0,0,0,0,3,5
2132,100-0,1,80,83,0,0,0,0,0,0,5,9
2132,90-10,1,0,0,76,91,0,0,0,0,5,9
2132,trainer2,1,25,41,0,0,0,0,0,0,1,4
2135,100-0,1,92,110,0,0,0,0,0,0,7,12
2135,90-10,1,0,0,65,115,0,0,0,0,7,12
2135,trainer2,1,26,51,0,0,0,0,0,0,2,4
2131,100-0,2,97,104,0,0,0,0,0,0,6,11
2131,90-10,2,0,0,93,116,0,0,0,0,9,12
2131,trainer2,2,32,56,0,0,0,0,0,0,1,6
2132,100-0,2,49,53,0,0,0,0,0,0,2,5
2132,90-10,2,0,0,67,90,0,0,0,0,6,10
2132,trainer2,2,16,28,0,0,0,0,0,0,1,3
2135,100-0,2,104,118,0,0,0,0,0,0,6,12
2135,90-10,2,0,0,60,103,0,0,0,0,7,12
2135,trainer2,2,30,43,0,0,0,0,0,0,3,6
2131,100-0,3,78,85,0,0,0,0,0,0,4,10
2131,90-10,3,0,0,75,95,0,0,0,0,3,9
2131,trainer2,3,39,55,0,0,0,0,0,0,3,6
2132,100-0,3,54,58,0,0,0,0,0,0,5,8
2132,90-10,3,0,0,51,89,0,0,0,0,3,10
2132,trainer2,3,24,38,0,0,0,0,0,0,2,5
2135,100-0,3,31,40,0,0,0,0,0,0,2,5
2135,90-10,3,0,0,46,81,0,0,0,0,5,8
2135,trainer2,3,31,44,0,0,0,0,0,0,2,4
2131,100-0,4,101,110,0,0,0,0,0,0,6,12
2131,90-10,4,0,0,66,73,0,0,0,0,4,8
2131,trainer2,4,29,45,0,0,0,0,0,0,5,6
2132,100-0,4,69,70,0,0,0,0,0,0,5,8
2132,90-10,4,0,0,0,0,0,0,0,0,0,0
2132,trainer2,4,30,47,0,0,0,0,0,0,5,6
2135,100-0,4,86,113,0,0,0,0,0,0,4,12
2135,90-10,4,0,0,18,35,0,0,0,0,4,4
2135,trainer2,4,54,74,0,0,0,0,0,0,5,10
2131,90-10,5,0,0,87,104,0,0,0,0,4,10
2131,trainer2,5,22,40,0,0,0,0,0,0,3,4
2132,90-10,5,0,0,58,99,0,0,0,0,4,12
2132,trainer2,5,46,64,0,0,0,0,0,0,4,8
2135,90-10,5,0,0,68,98,0,0,0,0,5,12
2135,trainer2,5,94,119,0,0,0,0,0,0,7,13
2131,90-10,6,0,0,58,99,0,0,0,0,9,11
2131,trainer2,6,31,44,0,0,0,0,0,0,2,6
2132,90-10,6,0,0,60,106,0,0,0,0,5,12
2132,trainer2,6,19,29,0,0,0,0,0,0,0,2
2135,100-0,6,101,122,0,0,0,0,0,0,9,15
2135,90-10,6,0,0,60,94,0,0,0,0,4,9
2131,90-10,7,0,0,63,106,0,0,0,0,9,12
2131,trainer2,7,28,37,0,0,0,0,0,0,1,4
2132,90-10,7,0,0,78,121,0,0,0,0,6,13
2132,trainer2,7,33,45,0,0,0,0,0,0,3,5
2135,100-0,7,121,139,0,0,0,0,0,0,8,16
2135,90-10,7,0,0,53,76,0,0,0,0,2,9
2131,90-10,8,0,0,47,73,0,0,0,0,4,8
2131,trainer2,8,33,43,0,0,0,0,0,0,1,4
2132,90-10,8,0,0,69,98,0,0,0,0,7,12
2132,trainer2,8,55,71,0,0,0,0,0,0,5,8
2135,90-10,8,0,0,65,105,0,0,0,0,6,12
2131,90-10,9,0,0,72,87,0,0,0,0,5,11
2131,trainer2,9,30,43,0,0,0,0,0,0,2,6
2132,90-10,9,0,0,22,34,0,0,0,0,3,3
2132,trainer2,9,39,49,0,0,0,0,0,0,4,5
2135,90-10,9,0,0,87,134,0,0,0,0,6,16
2131,90-10,10,0,0,84,111,0,0,0,0,7,13
2131,trainer2,10,40,58,0,0,0,0,0,0,5,8
2132,90-10,10,0,0,8,10,0,0,0,0,0,1
2132,trainer2,10,46,48,0,0,0,0,0,0,1,5
2135,90-10,10,0,0,70,115,0,0,0,0,4,12
2131,90-10,11,0,0,65,97,0,0,0,0,6,11
2131,trainer2,11,25,47,0,0,0,0,0,0,2,5
2132,90-10,11,0,0,39,69,0,0,0,0,5,7
2132,trainer2,11,34,44,0,0,0,0,0,0,0,4
2135,90-10,11,0,0,93,146,0,0,0,0,6,16
2131,90-10,12,0,0,10,16,0,0,0,0,0,0
2131,trainer2,12,45,61,0,0,0,0,0,0,4,7
2132,90-10,12,0,0,60,90,0,0,0,0,8,11
2132,trainer2,12,49,55,0,0,0,0,0,0,2,6
2135,90-10,12,0,0,99,137,0,0,0,0,9,16
2131,90-10,13,0,0,40,58,0,0,0,0,4,5
2131,trainer2,13,57,80,0,0,0,0,0,0,3,9
2132,90-10,13,0,0,66,106,0,0,0,0,9,12
2132,trainer2,13,37,46,0,0,0,0,0,0,3,5
2135,90-10,13,0,0,86,123,0,0,0,0,6,12
2131,90-10,14,0,0,34,43,0,0,0,0,1,5
2131,trainer2,14,52,74,0,0,0,0,0,0,3,9
2132,90-10,14,0,0,53,100,0,0,0,0,4,11
2132,trainer2,14,53,62,0,0,0,0,0,0,6,7
2131,90-10,15,0,0,84,101,0,0,0,0,8,12
2131,trainer2,15,45,54,0,0,0,0,0,0,4,7
2132,90-10,15,0,0,74,131,0,0,0,0,11,16
2132,trainer2,15,41,49,0,0,0,0,0,0,1,6
2131,90-10,16,0,0,80,98,0,0,0,0,4,11
2131,trainer2,16,41,50,0,0,0,0,0,0,2,5
2132,90-10,16,0,0,48,93,0,0,0,0,4,9
2132,trainer2,16,54,60,0,0,0,0,0,0,5,8
2131,90-10,17,0,0,89,117,0,0,0,0,7,14
2131,trainer2,17,55,79,0,0,0,0,0,0,7,9
2132,90-10,17,0,0,67,94,0,0,0,0,8,11
2132,trainer2,17,66,69,0,0,0,0,0,0,2,7
2131,90-10,18,0,0,110,144,0,0,0,0,7,16
